"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Drag and Drop","Drag images between squares","0","0","5","0","0"
"","Checkbox","Multy Checkboxes","0","0","16","0","0"
"","Input Field","Password Input Field","0","0","12","0","0"
"","Buttons","Disabled Button","0","0","6","0","0"
"","New Tab","Button","0","0","3","0","0"
"","Checkbox","Single Checkbox","0","0","6","0","0"
"","Input Field","Email Input Field","0","0","21","0","0"
"","Drag and Drop","Drag and drop boxes","0","0","4","0","0"
"","Input Field","Text Input Field","0","0","13","0","0"
"","Alerts","Prompt Box","0","0","5","0","0"
"","Alerts","Confirmation Box","0","0","4","0","0"
"","New Tab","Link","0","0","3","0","0"
"","Buttons","Simple Button","0","0","2","0","0"
"","Buttons","Like a Button","0","0","2","0","0"
"","IFrame","Check iframe contains Album example","0","0","1","0","0"
"","Alerts","Alert Box","0","0","3","0","0"
